Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
Esplugas M.,"Esplugas, Mireia (7801537464)",7801537464,"The use of artificial intelligence (AI) to enhance academic communication, education and research: a balanced approach",2023,Journal of Hand Surgery: European Volume,48,8,,819,822,3,0,10.1177/17531934231185746,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164530406&doi=10.1177%2f17531934231185746&partnerID=40&md5=86fb875c7b2174c64c435417dc3534fd,"Kaplan Hand Institute Barcelona, Avinguda Reina Elisenda 17, Barcelona, 08034, Spain","Esplugas M., Kaplan Hand Institute Barcelona, Avinguda Reina Elisenda 17, Barcelona, 08034, Spain","Much has been written about the concerns surrounding artificial intelligence (AI). This article looks positively at how AI can enhance communication and academic skills, including teaching and research. The article explains what AI, Generative Pre-trained Transformer (GPT), and chat-GPT are and highlights a few AI-based tools that are currently in use to improve communication and academic skills. It also mentions potential AI problems, such as a lack of personalization, societal biases, and privacy concerns. The future lies in the training of hand surgeons to master the skill of precise communication and academia using AI tools. © The Author(s) 2023.",AI-related tools; Artificial intelligence (AI); Large language model (LLM) academics; research; risks,Artificial Intelligence; Communication; Educational Status; Humans; Surgeons; Writing; article; artificial intelligence; education; human; human experiment; language; privacy; skill; surgeon; teaching; educational status; interpersonal communication; surgeon; writing,"M. Esplugas; Kaplan Hand Institute Barcelona, Barcelona, Avinguda Reina Elisenda 17, 08034, Spain; email: mireiaesplugas@institut-kaplan.com",,SAGE Publications Ltd,17531934,,,37417005,English,J. Hand Surg. Eur. Vol.,Article,Final,,Scopus,2-s2.0-85164530406
Ma Y.; Ren J.,"Ma, Yumeng (58285359300); Ren, Jiahao (58735291800)",58285359300; 58735291800,ProactiveAgent: Personalized Context-Aware Reminder System,2023,UIST 2023 Adjunct - Adjunct Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology,,,115,,,,0,10.1145/3586182.3625115,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178275865&doi=10.1145%2f3586182.3625115&partnerID=40&md5=f0bd1c1ec7db1af62479a6f62570dcdf,"Department of Computer Science, Brown University, Providence, RI, United States","Ma Y., Department of Computer Science, Brown University, Providence, RI, United States; Ren J., Department of Computer Science, Brown University, Providence, RI, United States","We introduce ProactiveAgent, a proactive application that harnesses the capabilities of large language models (LLMs) and personal agents to provide context-aware, personalized reminders and suggestions. By assimilating real-time environmental data, user histories, and verbal interactions, the system discerns user intent and offers tailored recommendations. The application captures visual activity and spoken interactions, integrating them into short and long-term memory storage for context-rich decision support. We propose scenarios where ProactiveAgent could be valuable: suggesting snack options depending on the time, offering culinary options based on dietary preferences, and even guiding users in their daily tasks. In envisioned use cases, ProactiveAgent could potentially track user attributes during their shopping experience, such as time spent on items and other cues, leading towards insightful product recommendations. Our work represents a potential advancement in the realm of personalized assistance, merging LLM strengths with personal agent technologies to enhance user decision-making in dynamic real-world scenarios. © 2023 Owner/Author.",generative AI; Human-AI interaction; large language models,Artificial intelligence; Computational linguistics; Decision support systems; Digital storage; Context-Aware; Generative AI; Human-AI interaction; Language model; Large language model; Model agents; Personal Agent; Proactive applications; Real- time; Reminder systems; Decision making,"Y. Ma; Department of Computer Science, Brown University, Providence, United States; email: yumeng_ma1@brown.edu; J. Ren; Department of Computer Science, Brown University, Providence, United States; email: jiahao_ren@brown.edu",,"Association for Computing Machinery, Inc",,979-840070096-5,,,English,UIST Adjun. - Adjun. Proc. Annu. ACM Symp. User Interface Softw. Technol.,Conference paper,Final,,Scopus,2-s2.0-85178275865
Barrett A.; Pack A.,"Barrett, Alex (57215046629); Pack, Austin (57215049333)",57215046629; 57215049333,Not quite eye to A.I.: student and teacher perspectives on the use of generative artificial intelligence in the writing process,2023,International Journal of Educational Technology in Higher Education,20,1,59,,,,0,10.1186/s41239-023-00427-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176125600&doi=10.1186%2fs41239-023-00427-0&partnerID=40&md5=706bc84a69fd9162f0d20c20a3d29719,"College of Education, Florida State University, Stone Building, 114 West Call Street, Tallahassee, 32306, FL, United States; Faculty of Education and Social Work, Brigham Young University-Hawaii, 55-220 Kulanui Street, Laie, 96762, HI, United States","Barrett A., College of Education, Florida State University, Stone Building, 114 West Call Street, Tallahassee, 32306, FL, United States; Pack A., Faculty of Education and Social Work, Brigham Young University-Hawaii, 55-220 Kulanui Street, Laie, 96762, HI, United States","Generative artificial intelligence (GenAI) can be used to author academic texts at a similar level to what humans are capable of, causing concern about its misuse in education. Addressing the role of GenAI in teaching and learning has become an urgent task. This study reports the results of a survey comparing educators’ (n = 68) and university students’ (n = 158) perceptions on the appropriate use of GenAI in the writing process. The survey included representations of user prompts and output from ChatGPT, a GenAI chatbot, for each of six tasks of the writing process (brainstorming, outlining, writing, revising, feedback, and evaluating). Survey respondents were asked to differentiate between various uses of GenAI for these tasks, which were divided between student and teacher use. Results indicate minor disagreement between students and teachers on acceptable use of GenAI tools in the writing process, as well as classroom and institutional-level lack of preparedness for GenAI. These results imply the need for explicit guidelines and teacher professional development on the use of GenAI in educational contexts. This study can contribute to evidence-based guidelines on the integration of GenAI in teaching and learning. © 2023, The Author(s).",Academic integrity; Artificial intelligence; GPT; Large language model; Writing education,,"A. Barrett; College of Education, Florida State University, Tallahassee, Stone Building, 114 West Call Street, 32306, United States; email: abarrett3@fsu.edu",,Springer Science and Business Media Deutschland GmbH,23659440,,,,English,Int. j. educ. technol. high. educ.,Article,Final,,Scopus,2-s2.0-85176125600
Hirosawa T.; Mizuta K.; Harada Y.; Shimizu T.,"Hirosawa, Takanobu (57193420373); Mizuta, Kazuya (58605122100); Harada, Yukinori (57189847899); Shimizu, Taro (36141977800)",57193420373; 58605122100; 57189847899; 36141977800,Comparative Evaluation of Diagnostic Accuracy Between Google Bard and Physicians,2023,American Journal of Medicine,136,11,,1119,1.12E+21,,0,10.1016/j.amjmed.2023.08.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171679131&doi=10.1016%2fj.amjmed.2023.08.003&partnerID=40&md5=bded14455bec7a819d8e767b2752000f,"Department of Diagnostic and Generalist Medicine, Dokkyo Medical University, Tochigi, Japan","Hirosawa T., Department of Diagnostic and Generalist Medicine, Dokkyo Medical University, Tochigi, Japan; Mizuta K., Department of Diagnostic and Generalist Medicine, Dokkyo Medical University, Tochigi, Japan; Harada Y., Department of Diagnostic and Generalist Medicine, Dokkyo Medical University, Tochigi, Japan; Shimizu T., Department of Diagnostic and Generalist Medicine, Dokkyo Medical University, Tochigi, Japan","Background: In this study, we evaluated the diagnostic accuracy of Google Bard, a generative artificial intelligence (AI) platform. Methods: We searched published case reports from our department for difficult or uncommon case descriptions and mock cases created by physicians for common case descriptions. We entered the case descriptions into the prompt of Google Bard to generate the top 10 differential-diagnosis lists. As in previous studies, other physicians created differential-diagnosis lists by reading the same clinical descriptions. Results: A total of 82 clinical descriptions (52 case reports and 30 mock cases) were used. The accuracy rates of physicians were still higher than Google Bard in the top 10 (56.1% vs 82.9%, P < .001), the top 5 (53.7% vs 78.0%, P = .002), and the top differential diagnosis (40.2% vs 64.6%, P = .003). Even within the specific context of case reports, physicians consistently outperformed Google Bard. When it came to mock cases, the performances of the differential-diagnosis lists by Google Bard were no different from those of the physicians in the top 10 (80.0% vs 96.6%, P = .11) and the top 5 (76.7% vs 96.6%, P = .06), except for those in the top diagnoses (60.0% vs 90.0%, P = .02). Conclusion: While physicians excelled overall, and particularly with case reports, Google Bard displayed comparable diagnostic performance in common cases. This suggested that Google Bard possesses room for further improvement and refinement in its diagnostic capabilities. Generative AIs, including Google Bard, are anticipated to become increasingly beneficial in augmenting diagnostic accuracy. © 2023 Elsevier Inc.",Clinical decision supporting system; Diagnosis; Diagnostic excellence; Generative artificial intelligence; Large language model; Natural language processing,article; artificial intelligence; diagnosis; diagnostic accuracy; diagnostic test accuracy study; diagnostic value; differential diagnosis; human; large language model; natural language processing; physician; systematic review,"T. Hirosawa; Department of Diagnostic and Generalist Medicine, Dokkyo Medical University, Mibu-cho, Simotsuga-gun Tochigi,880 Kitakobayashi, 321-0293, Japan; email: hirosawa@dokkyomed.ac.jp",,Elsevier Inc.,29343,,AJMEA,37643659,English,Am. J. Med.,Article,Final,,Scopus,2-s2.0-85171679131
Van Bossuyt D.L.; Hale B.; Arlitt R.; Papakonstantinou N.,"Van Bossuyt, Douglas L. (36715770600); Hale, Britta (56414394200); Arlitt, Ryan (45960903000); Papakonstantinou, Nikolaos (24722977200)",36715770600; 56414394200; 45960903000; 24722977200,Zero-Trust for the System Design Lifecycle,2023,Journal of Computing and Information Science in Engineering,23,6,60812,,,,2,10.1115/1.4062597,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173951276&doi=10.1115%2f1.4062597&partnerID=40&md5=d5b3bfe08007ebbb0d2e1be60926bb05,"Department of Systems Engineering, Naval Postgraduate School, Monterey, 93943, CA, United States; Department of Computer Science, Naval Postgraduate School, Monterey, 93943, CA, United States; Department of Mechanical Engineering, Technical University of Denmark, Kongens Lyngby, 2800, Denmark; VTT Technical Research Centre, Espoo, FI-02044, Finland","Van Bossuyt D.L., Department of Systems Engineering, Naval Postgraduate School, Monterey, 93943, CA, United States; Hale B., Department of Computer Science, Naval Postgraduate School, Monterey, 93943, CA, United States; Arlitt R., Department of Mechanical Engineering, Technical University of Denmark, Kongens Lyngby, 2800, Denmark; Papakonstantinou N., VTT Technical Research Centre, Espoo, FI-02044, Finland","In an age of worsening global threat landscape and accelerating uncertainty, the design and manufacture of systems must increase resilience and robustness across both the system itself and the entire systems design process. We generally trust our colleagues after initial clearance/background checks; and systems to function as intended and within operating parameters after safety engineering review, verification, validation, and/ or system qualification testing. This approach has led to increased insider threat impacts; thus, we suggest moving to the ""trust, but verify""approach embodied by the Zero-Trust paradigm. Zero-Trust is increasingly adopted for network security but has not seen wide adoption in systems design and operation. Achieving the goal of Zero-Trust throughout the systems lifecycle will help to ensure that no single bad actor-whether human or machine learning/artificial intelligence (ML/AI)-can induce failure anywhere in a system's lifecycle. Additionally, while ML/AI and their associated risks are already entrenched within the operations phase of many systems' lifecycles, ML/AI is gaining traction during the design phase. For example, generative design algorithms are increasingly popular, but there is less understanding of potential risks. Adopting the Zero-Trust philosophy helps ensure robust and resilient design, manufacture, operations, maintenance, upgrade, and disposal of systems. We outline the rewards and challenges of implementing Zero-Trust and propose the framework for Zero-Trust for the system design lifecycle. This article highlights several areas of ongoing research with focus on high priority areas where the community should focus efforts. © 2023 by ASME.",artificial intelligence; cyber physical security for factories; cyber physical system design and operation; information management; machine learning for engineering applications; model-based systems engineering; system design; systems engineering; Zero-Trust,Cybersecurity; Embedded systems; Engineering education; Information management; Life cycle; Machine learning; Network security; Product design; Safety engineering; Systems analysis; Cybe physical security for factory; Cybe physical system design and operation; Cybe-physical systems; Cyber-Physical securities; Cyber-physical systems; Design and operations; Engineering applications; Machine learning for engineering application; Machine-learning; Model-based system engineerings; Zero-trust; Cyber Physical System,"D.L. Van Bossuyt; Department of Systems Engineering, Naval Postgraduate School, Monterey, 93943, United States; email: douglas.vanbossuyt@nps.edu",,American Society of Mechanical Engineers (ASME),15309827,,,,English,J. Comput. Inf. Sci. Eng.,Article,Final,,Scopus,2-s2.0-85173951276
Gross N.,"Gross, Nicole (57193559799)",57193559799,What ChatGPT Tells Us about Gender: A Cautionary Tale about Performativity and Gender Biases in AI,2023,Social Sciences,12,8,435,,,,3,10.3390/socsci12080435,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169117530&doi=10.3390%2fsocsci12080435&partnerID=40&md5=2610b2f7b92c41308f7cfbabfe26dfa4,"National College of Ireland, School of Business, Dublin, D01Y300, Ireland","Gross N., National College of Ireland, School of Business, Dublin, D01Y300, Ireland","Large language models and generative AI, such as ChatGPT, have gained influence over people’s personal lives and work since their launch, and are expected to scale even further. While the promises of generative artificial intelligence are compelling, this technology harbors significant biases, including those related to gender. Gender biases create patterns of behavior and stereotypes that put women, men and gender-diverse people at a disadvantage. Gender inequalities and injustices affect society as a whole. As a social practice, gendering is achieved through the repeated citation of rituals, expectations and norms. Shared understandings are often captured in scripts, including those emerging in and from generative AI, which means that gendered views and gender biases get grafted back into social, political and economic life. This paper’s central argument is that large language models work performatively, which means that they perpetuate and perhaps even amplify old and non-inclusive understandings of gender. Examples from ChatGPT are used here to illustrate some gender biases in AI. However, this paper also puts forward that AI can work to mitigate biases and act to ‘undo gender’. © 2023 by the author.",ChatGPT; ethical AI; gender; gender bias; generative AI; large language models; performativity,,"N. Gross; National College of Ireland, School of Business, Dublin, D01Y300, Ireland; email: nicole.gross@ncirl.ie",,Multidisciplinary Digital Publishing Institute (MDPI),20760760,,,,English,Soc. Sci.,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85169117530
Li Z.; Shi L.; Wang J.; Cristea A.I.; Zhou Y.,"Li, Zhaoxing (57226030537); Shi, Lei (55615905500); Wang, Jindi (58397603300); Cristea, Alexandra I. (7005960532); Zhou, Yunzhan (57226016828)",57226030537; 55615905500; 58397603300; 7005960532; 57226016828,Sim-GAIL: A generative adversarial imitation learning approach of student modelling for intelligent tutoring systems,2023,Neural Computing and Applications,35,34,,24369,24388,19,0,10.1007/s00521-023-08989-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173087707&doi=10.1007%2fs00521-023-08989-w&partnerID=40&md5=886564d906b3df584fd9a1030a87a0b6,"Department of Computer Science, Durham University, Durham, United Kingdom; Open Lab, School of Computing, Newcastle University, Newcastle upon Tyne, United Kingdom","Li Z., Department of Computer Science, Durham University, Durham, United Kingdom; Shi L., Department of Computer Science, Durham University, Durham, United Kingdom, Open Lab, School of Computing, Newcastle University, Newcastle upon Tyne, United Kingdom; Wang J., Department of Computer Science, Durham University, Durham, United Kingdom; Cristea A.I., Department of Computer Science, Durham University, Durham, United Kingdom; Zhou Y., Department of Computer Science, Durham University, Durham, United Kingdom","The continuous application of artificial intelligence (AI) technologies in online education has led to significant progress, especially in the field of Intelligent Tutoring Systems (ITS), online courses and learning management systems (LMS). An important research direction of the field is to provide students with customised learning trajectories via student modelling. Previous studies have shown that customisation of learning trajectories could effectively improve students’ learning experiences and outcomes. However, training an ITS that can customise students’ learning trajectories suffers from cold-start, time-consumption, human labour-intensity, and cost problems. One feasible approach is to simulate real students’ behaviour trajectories through algorithms, to generate data that could be used to train the ITS. Nonetheless, implementing high-accuracy student modelling methods that effectively address these issues remains an ongoing challenge. Traditional simulation methods, in particular, encounter difficulties in ensuring the quality and diversity of the generated data, thereby limiting their capacity to provide intelligent tutoring systems (ITS) with high-fidelity and diverse training data. We thus propose Sim-GAIL, a novel student modelling method based on generative adversarial imitation learning (GAIL). To the best of our knowledge, it is the first method using GAIL to address the challenge of lacking training data, resulting from the issues mentioned above. We analyse and compare the performance of Sim-GAIL with two traditional Reinforcement Learning-based and Imitation Learning-based methods using action distribution evaluation, cumulative reward evaluation, and offline-policy evaluation. The experiments demonstrate that our method outperforms traditional ones on most metrics. Moreover, we apply our method to a domain plagued by the cold-start problem, knowledge tracing (KT), and the results show that our novel method could effectively improve the KT model’s prediction accuracy in a cold-start scenario. © 2023, The Author(s).",Generative adversarial imitation learning; Intelligent tutoring systems; Student modelling,Computer aided instruction; Education computing; Intelligent vehicle highway systems; Learning systems; Online systems; Reinforcement learning; Students; Cold-start; Generative adversarial imitation learning; Imitation learning; Intelligent tutoring; Intelligent tutoring system; Learning trajectories; Model method; Student Modeling; Training data; Tutoring system; Trajectories,"L. Shi; Open Lab, School of Computing, Newcastle University, Newcastle upon Tyne, United Kingdom; email: lei.shi@newcastle.ac.uk",,Springer Science and Business Media Deutschland GmbH,9410643,,,,English,Neural Comput. Appl.,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85173087707
Bearman M.; Ajjawi R.,"Bearman, Margaret (6602738481); Ajjawi, Rola (24070153000)",6602738481; 24070153000,Learning to work with the black box: Pedagogy for a world with artificial intelligence,2023,British Journal of Educational Technology,54,5,,1160,1173,13,7,10.1111/bjet.13337,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159877784&doi=10.1111%2fbjet.13337&partnerID=40&md5=0db5bcb7bdadf3f7a528c119fc927e05,"Centre for Research in Assessment and Digital Learning (CRADLE), Deakin University, Docklands, VIC, Australia","Bearman M., Centre for Research in Assessment and Digital Learning (CRADLE), Deakin University, Docklands, VIC, Australia; Ajjawi R., Centre for Research in Assessment and Digital Learning (CRADLE), Deakin University, Docklands, VIC, Australia","Artificial intelligence (AI) is increasingly integrating into our society. University education needs to maintain its relevance in an AI-mediated world, but the higher education sector is only beginning to engage deeply with the implications of AI within society. We define AI according to a relational epistemology, where, in the context of a particular interaction, a computational artefact provides a judgement about an optimal course of action and that this judgement cannot be traced. Therefore, by definition, AI must always act as a ‘black box’. Rather than seeking to explain ‘black boxes’, we argue that a pedagogy for an AI-mediated world involves learning to work with opaque, partial and ambiguous situations, which reflect the entangled relationships between people and technologies. Such a pedagogy asks learners locate AI as socially bounded, where AI is always understood within the contexts of its use. We outline two particular approaches to achieve this: (a) orienting students to quality standards that surround AIs, what might be called the tacit and explicit ‘rules of the game’; and (b) providing meaningful interactions with AI systems. Practitioner notes What is already known about this topic Artificial intelligence (AI) is conceptualised in many different ways but is rarely defined in the higher education literature. Experts have outlined a range of graduate capabilities for working in a world of AI such as teamwork or ethical thinking. The higher education literature outlines an imperative need to respond to AI, as underlined by recent commentary on ChatGPT. What this paper adds A definition of an AI that is relational: A particular interaction where a computational artefact provides a judgement about an optimal course of action, which cannot be easily traced. Focusing on working with AI black boxes rather than trying to see inside the technology. Describing a pedagogy for an AI-mediated world that promotes working in complex situations with partial and indeterminate information. Implications for practice and/or policy Focusing on quality standards helps learners understand the social regulating boundaries around AI. Promoting learner interactions with AI as part of a sociotechnical ensemble helps build evaluative judgement in weighting AI's contribution to work. Asking learners to work with AI systems prompts understanding of the evaluative, ethical and practical necessities of working with a black box. © 2023 The Authors. British Journal of Educational Technology published by John Wiley & Sons Ltd on behalf of British Educational Research Association.",artificial intelligence; evaluative judgement; generative AI; higher education; relational epistemology,Ethical technology; Quality control; Artificial intelligence systems; Black boxes; Course of action; Education sectors; Evaluative judgment; Generative artificial intelligence; High educations; Quality standard; Relational epistemology; University education; Artificial intelligence,"M. Bearman; Centre for Research in Assessment and Digital Learning (CRADLE), Deakin University, Docklands, Tower 2, Level 12, 727 Collins Street, 3008, Australia; email: margaret.bearman@deakin.edu.au",,John Wiley and Sons Inc,71013,,BJETD,,English,Br J Educ Technol,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85159877784
Liu J.; Liu F.; Fang J.; Liu S.,"Liu, Jialin (7410115775); Liu, Fan (56133321100); Fang, Jinbo (8555953000); Liu, Siru (57210804881)",7410115775; 56133321100; 8555953000; 57210804881,The application of Chat Generative Pre-trained Transformer in nursing education,2023,Nursing Outlook,71,6,102064,,,,0,10.1016/j.outlook.2023.102064,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174842384&doi=10.1016%2fj.outlook.2023.102064&partnerID=40&md5=363ba6741e6377cf57cd4885f598b65b,"Department of Medical Informatics, West China Medical School, Sichuan, Chengdu, China; Department of Otolaryngology—Head and Neck Surgery, West China Hospital, Sichuan University, Sichuan, Chengdu, China; Department of Nursing, West China Hospital of Stomatology, Sichuan University, Sichuan, Chengdu, China; Department of Nursing, West China Hospital, West China School of Nursing, Sichuan University, Sichuan, Chengdu, China; Department of Biomedical Informatics, Vanderbilt University Medical Center, Nashville, TN, United States","Liu J., Department of Medical Informatics, West China Medical School, Sichuan, Chengdu, China, Department of Otolaryngology—Head and Neck Surgery, West China Hospital, Sichuan University, Sichuan, Chengdu, China; Liu F., Department of Nursing, West China Hospital of Stomatology, Sichuan University, Sichuan, Chengdu, China; Fang J., Department of Nursing, West China Hospital, West China School of Nursing, Sichuan University, Sichuan, Chengdu, China; Liu S., Department of Biomedical Informatics, Vanderbilt University Medical Center, Nashville, TN, United States","Background: Nursing education is critical for nurses to deliver quality health care. Incorporating AI into education can enhance the learning process and better equip nurses for their health care roles. Purpose: This article explores the potential applications and challenges of ChatGPT in nursing education. Methods: A comprehensive literature review was conducted to explore the potential benefits and challenges of using ChatGPT in nursing education. Discussion: ChatGPT, an advanced large language model, has the potential to make valuable contributions to nursing education in various ways, including personalized learning, simulation scenarios, immediate feedback, and reducing educator workload. However, it is important to address the various challenges and limitations in order to realize its full potential. Conclusion: Nursing educators must carefully consider the potential uses, benefits, challenges, drawbacks, and limitations of ChatGPT to make informed decisions about its integration into nursing education. © 2023 Elsevier Inc.",Artificial intelligence; ChatGPT; Education; Large language model; Nursing,article; artificial intelligence; ChatGPT; education; human; human experiment; learning; nursing education; simulation; systematic review; workload,"J. Liu; Department of Medical Informatics, West China Medical School/West China Hospital, Chengdu, No. 37 Guoxue Road, Sichuan, 610041, China; email: DLJL8@163.com",,Elsevier Inc.,296554,,NUOUA,,English,Nurs. Outlook,Article,Final,,Scopus,2-s2.0-85174842384
French F.; Levi D.; Maczo C.; Simonaityte A.; Triantafyllidis S.; Varda G.,"French, Fiona (56369297600); Levi, David (58553580400); Maczo, Csaba (58553580500); Simonaityte, Aiste (58553039200); Triantafyllidis, Stefanos (58553580600); Varda, Gergo (58554120600)",56369297600; 58553580400; 58553580500; 58553039200; 58553580600; 58554120600,Creative Use of OpenAI in Education: Case Studies from Game Development,2023,Multimodal Technologies and Interaction,7,8,81,,,,0,10.3390/mti7080081,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169072019&doi=10.3390%2fmti7080081&partnerID=40&md5=43b7dfea735ded9fc172468e7770a3cb,"School of Computing and Digital Media, London Metropolitan University, London, N7 8DB, United Kingdom","French F., School of Computing and Digital Media, London Metropolitan University, London, N7 8DB, United Kingdom; Levi D., School of Computing and Digital Media, London Metropolitan University, London, N7 8DB, United Kingdom; Maczo C., School of Computing and Digital Media, London Metropolitan University, London, N7 8DB, United Kingdom; Simonaityte A., School of Computing and Digital Media, London Metropolitan University, London, N7 8DB, United Kingdom; Triantafyllidis S., School of Computing and Digital Media, London Metropolitan University, London, N7 8DB, United Kingdom; Varda G., School of Computing and Digital Media, London Metropolitan University, London, N7 8DB, United Kingdom","Educators and students have shown significant interest in the potential for generative artificial intelligence (AI) technologies to support student learning outcomes, for example, by offering personalized experiences, 24 h conversational assistance, text editing and help with problem-solving. We review contemporary perspectives on the value of AI as a tool in an educational context and describe our recent research with undergraduate students, discussing why and how we integrated OpenAI tools ChatGPT and Dall-E into the curriculum during the 2022–2023 academic year. A small cohort of games programming students in the School of Computing and Digital Media at London Metropolitan University was given a research and development assignment that explicitly required them to engage with OpenAI. They were tasked with evaluating OpenAI tools in the context of game development, demonstrating a working solution and reporting on their findings. We present five case studies that showcase some of the outputs from the students and we discuss their work. This mode of assessment was both productive and popular, mapping to students’ interests and helping to refine their skills in programming, problem-solving, critical reflection and exploratory design. © 2023 by the authors.",artificial intelligence; ChatGPT; Dall-E; education; game design; game programming; interaction design; LLM; OpenAI; procedural generation,,"F. French; School of Computing and Digital Media, London Metropolitan University, London, N7 8DB, United Kingdom; email: f.french@londonmet.ac.uk",,Multidisciplinary Digital Publishing Institute (MDPI),24144088,,,,English,Multimodal Tech. Inter.,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85169072019
